alienacao_fiduciaria;avaliacao;bairro;categorias;cidade;construida;data;descricao;endereco;forma_pagamento;lance_inicial;lance_minimo;leilao;local_leilao;local_lote;lote;privativa;terreno;tipo;titulo;url;vistoria
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alienação Fiduciária - 1ª Praça;-;BOM JESUS;Categorias:Imóveis;SIQUEIRA CAMPOS / PR;150 m²;"Data:11/01/2018 - 14:00h";"1º Leilão na forma da Lei 9.514/97. Siqueira Campos/PR. Bairro Bom  Jesus. Rua Joaquim Francisco Leal, 158 (lt. 02 da qd. 01). Casa. Áreas  totais: terr. 232,05m² e constr. estimada no local 150,90m² (consta no RI125,90m²). Matr. 7.794 do RI local. Obs.: Regularização e encargos  perante os órgãos competentes da eventual divergência da área  construída que vier a ser apurada no local, com a lançada no IPTU  e averbada no RI, correrão por conta do comprador. Ocupada (AF).    	  1º Leilão: 11/01/2018 às 14h. Lance mínimo: R$ 190.000,00  2º Leilão: 18/01/2018 às 14h. Lance mínimo: R$ 146.615,23 (caso  não seja arrematado no 1º leilão).";RUA JOAQUIM FRANCISCO LEAL, 158 (LT. 02 DA QD. 01).;À vista;R$ 190.000;R$  190.000;Leilão:15097- BANCO BRADESCO S.A;Local do leilão:  Rod. Presidente Dutra, Km 224 - Guarulhos/SP;Local do lote: RUA JOAQUIM FRANCISCO LEAL, 158 (LT. 02 DA QD. 01).;Lote:029 - (24123);-;232 m²;Casa;15097 - 029 - Casa - BOM JESUS - SIQUEIRA CAMPOS - PR;http://www.sodresantoro.com.br/leilao/15097/lote/1782091/segmento/imoveis/pagina/3/;24123
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alienação Fiduciária - 1ª Praça;-;BALNEÁRIO MARAJÓ;Categorias:Imóveis;MATINHOS / PR;-;"Data:11/01/2018 - 14:00h";1º Leilão na forma da Lei 9.514/97.Matinhos/PR. Bairro Balneário Marajó - Resort Ilhas do Caribe. Avenida Atlântica, 5.481. Conjunto  Resort Ilhas do Caribe. Bloco F (Margarida). Ap. 203 do tipo IV.(1º andar) c/ vaga de garagem nº 234 (localizado no térreo 1º  pav.). Áreas priv's. 84,108130m² (Ap.) e 12,500000m² (garagem).  Matr's. 4.716 e 4.726 do RI local. Obs.: Consta ação revisional,  processo nº 0055679-44.2012.8.16.0001 e ação de consignação  em pagamento, processo nº 0032030-11.2016.8.16.0001, ambas  em trâmite na 22ª Vara Cível da Comarca de Curitiba/PR. O  Vendedor responde pelos resultados das ações, de acordo com os  critérios e limites estabelecidos nas Condições de Venda dos  Imóveis constantes do edital. Ocupado (AF)  1º Leilão: 11/01/2018 às 14h. Lance mínimo: R$ 392.947,00  2º Leilão: 18/01/2018 às 14h. Lance mínimo: R$ 235.768,20 (caso não  seja arrematado no 1º leilão).;"AVENIDA ATLÂNTICA, 5.481. CONJUNTO ""RESORT ILHAS DO CARIBE"".";À vista;R$ 392.947;R$  392.947;Leilão:15097- BANCO BRADESCO S.A;Local do leilão:  Rod. Presidente Dutra, Km 224 - Guarulhos/SP;"Local do lote: AVENIDA ATLÂNTICA, 5.481. CONJUNTO ""RESORT ILHAS DO CARIBE"".";Lote:023 - (24117);84 m²;-;Apartamento;15097 - 023 - Apartamento - BALNEÁRIO MARAJÓ - MATINHOS - PR;http://www.sodresantoro.com.br/leilao/15097/lote/1781622/segmento/imoveis/pagina/3/;24117
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alienação Fiduciária - 1ª Praça;-;PARQUE RESIDENCIAL VILA U;Categorias:Imóveis;CAMPINAS / SP;-;"Data:11/01/2018 - 14:00h";"1º Leilão na forma da Lei 9.514/97. Campinas/SP. Bairro Parque  Residencial Vila União. Rua Rubens Roberto Ciolfi, 1.050. Prédio C  Parnaíba. Condomínio Piauí. Ap. nº 31 (3º pav.) com direito à 1 vaga degaragem descoberta e em local indeterminado. Área priv. 51,7085m².  Matr. 144.188 do 3º RI local. Obs.: Ocupado. (AF).   	 1º Leilão: 11/01/2018 às 14h. Lance mínimo: R$ 188.779,55  2º Leilão: 18/01/2018 às 14h. Lance mínimo: R$ 150.153,82 (caso  não seja arrematado no 1º leilão).";RUA RUBENS ROBERTO CIOLFI, 1.050.;À vista;R$ 188.779,55;R$  188.780;Leilão:15097- BANCO BRADESCO S.A;Local do leilão:  Rod. Presidente Dutra, Km 224 - Guarulhos/SP;Local do lote: RUA RUBENS ROBERTO CIOLFI, 1.050.;Lote:028 - (24122);51 m²;-;Apartamento;15097 - 028 - Apartamento - PARQUE RESIDENCIAL VILA U - CAMPINAS - SP;http://www.sodresantoro.com.br/leilao/15097/lote/1781724/segmento/imoveis/pagina/3/;24122
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alienação Fiduciária - 1ª Praça;-;SANTA FELICIDADE;Categorias:Imóveis;CURITIBA / PR;194 m²;"Data:11/01/2018 - 14:00h";"1º Leilão na forma da Lei 9.514/97. Curitiba/PR. Bairro Santa Felicidade.  Rua Jornalista Clemente Comandulli (antiga Rua B), 399. Condomínio  Menezes Alves. Casa nº 01 (lt. 01 da qd. 06). Áreas totais: terr. 175,22m²e constr. 194,88m². Matr. 167.959 do 8º RI local. Obs.: O Vendedor  providenciará sem prazo determinado a baixa da informação de  existência de ação constante na Av. 03 da citada matrícula. Ocupada  (AF).    	 1º Leilão: 11/01/2018 às 14h. Lance mínimo: R$ 819.452,98  2º Leilão: 18/01/2018 às 14h. Lance mínimo: R$ 291.000,00 (caso  não seja arrematado no 1º leilão).";RUA JORNALISTA CLEMENTE COMANDULLI (ANTIGA RUA B), 399.;À vista;R$ 819.452,98;R$  819.453;Leilão:15097- BANCO BRADESCO S.A;Local do leilão:  Rod. Presidente Dutra, Km 224 - Guarulhos/SP;Local do lote: RUA JORNALISTA CLEMENTE COMANDULLI (ANTIGA RUA B), 399.;Lote:027 - (24121);-;175 m²;Casa;15097 - 027 - Casa - SANTA FELICIDADE - CURITIBA - PR;http://www.sodresantoro.com.br/leilao/15097/lote/1781723/segmento/imoveis/pagina/3/;24121
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alienação Fiduciária - 1ª Praça;-;VILA BELA;Categorias:Imóveis;GOIÂNIA / GO;188 m²;"Data:11/01/2018 - 14:00h";"1º Leilão na forma da Lei 9.514/97.Goiânia/GO. Bairro Vila Bela. Rua das  Quaresmeiras, s/n (lt. 20 da qd. 02). Casa. Áreas totais: terr. 200,00m² e  constr. estimada no local e lançada no IPTU 188,38m² (consta no RI86,10m²). Matr. 24.735 do 1º RI local. Obs.: Regularização e encargos  perante os órgãos competentes da eventual divergência da área  construída que vier a ser apurada no local, com a lançada no IPTU e  averbada no RI, correrão por conta do comprador. Consta ação rdinária,  processo nº 0114386.39.2015.8.09.0051, em trâmite na 10ª Vara Cível II  de Goiânia/GO e ação revisional, processo nº  5068981.21.2017.8.09.0051, em trâmite na 17ª Vara Cível e Ambiental  de Goiânia/GO. O Vendedor responde pelos resultados das ações, de  acordo com os critérios e limites estabelecidos nas Condições de  Venda dos Imóveis constantes do edital. Ocupada (AF).      	 1º Leilão: 11/01/2018 às 14h. Lance mínimo: R$ 350.045,63  2º Leilão: 18/01/2018 às 14h. Lance mínimo: R$ 147.000,00 (caso  não seja arrematado no 1º leilão).";RUA DAS QUARESMEIRAS, S/N (LT. 20 DA QD. 02);À vista;R$ 350.045,63;R$  350.046;Leilão:15097- BANCO BRADESCO S.A;Local do leilão:  Rod. Presidente Dutra, Km 224 - Guarulhos/SP;Local do lote: RUA DAS QUARESMEIRAS, S/N (LT. 20 DA QD. 02);Lote:025 - (24119);-;200 m²;Casa;15097 - 025 - Casa - VILA BELA - GOIÂNIA - GO;http://www.sodresantoro.com.br/leilao/15097/lote/1781721/segmento/imoveis/pagina/3/;24119
